epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,9413.76,0.25976,0.07879,0.07239,0.19239,0.97378,0.99983,1,0.995,0.98477,0.94529,0.94545,0.93665,0.91598,0.22418,0.52637,0.01744,0.1807,0.85231,0.000416,0.000416,0.000416
66,9557.26,0.25606,0.07225,0.06827,0.18811,0.96634,0.99981,1,0.995,0.98638,0.95437,0.95455,0.95551,0.93823,0.21185,0.51182,0.01362,0.1779,0.83662,0.00039125,0.00039125,0.00039125
67,9700.84,0.25819,0.07453,0.07161,0.18828,0.97451,0.99983,1,0.995,0.98579,0.95135,0.95152,0.9535,0.93949,0.22327,0.50777,0.0132,0.18549,0.84979,0.0003665,0.0003665,0.0003665
68,9844.89,0.25833,0.07745,0.06855,0.1943,0.97412,0.99983,1,0.995,0.9864,0.95438,0.95455,0.9478,0.93407,0.21545,0.48604,0.00864,0.16978,0.83513,0.00034175,0.00034175,0.00034175
69,9987.88,0.24516,0.07727,0.07083,0.18542,0.96319,0.99983,1,0.995,0.98189,0.94832,0.94848,0.94112,0.92381,0.22309,0.50398,0.0104,0.17859,0.84877,0.000317,0.000317,0.000317
70,10129.5,0.24313,0.06805,0.062,0.18299,0.97169,0.99983,1,0.995,0.98876,0.95439,0.95455,0.95396,0.93961,0.21027,0.48036,0.00959,0.16973,0.83333,0.00029225,0.00029225,0.00029225
71,225.483,0.29494,0.10178,0.10444,0.18988,0.7572,0.99977,1,0.995,0.98772,0.94524,0.94545,0.94501,0.92917,0.21501,0.51728,0.00764,0.17119,0.84339,0.0002675,0.0002675,0.0002675
72,438.039,0.28238,0.0874,0.09722,0.1826,0.73526,0.99977,1,0.995,0.98541,0.94827,0.94848,0.94131,0.91084,0.21274,0.54058,0.00435,0.17706,0.83268,0.00024275,0.00024275,0.00024275
73,652.484,0.27773,0.08298,0.07261,0.18001,0.74021,0.99982,1,0.995,0.98775,0.95135,0.95152,0.95275,0.93072,0.20759,0.53073,0.00484,0.17657,0.82479,0.000218,0.000218,0.000218
74,867.154,0.27951,0.07583,0.06652,0.18298,0.73085,0.99983,1,0.995,0.99068,0.95135,0.95152,0.9553,0.93282,0.20341,0.54821,0.00375,0.17161,0.8249,0.00019325,0.00019325,0.00019325
75,1083.2,0.27672,0.07872,0.06415,0.17966,0.73911,0.99983,1,0.995,0.99006,0.95439,0.95455,0.95613,0.93443,0.19391,0.52532,0.00232,0.17038,0.82194,0.0001685,0.0001685,0.0001685
76,1299.25,0.26993,0.08138,0.06989,0.17335,0.72843,0.99983,1,0.995,0.99072,0.95438,0.95455,0.95389,0.938,0.19185,0.50269,0.00225,0.15769,0.81303,0.00014375,0.00014375,0.00014375
77,1521.75,0.26671,0.0602,0.05296,0.17021,0.73086,0.99983,1,0.995,0.98782,0.95135,0.95152,0.94949,0.93053,0.19412,0.51435,0.00301,0.16367,0.81871,0.000119,0.000119,0.000119
78,1741.82,0.25016,0.05283,0.04975,0.16656,0.73193,0.99983,1,0.995,0.98691,0.9453,0.94545,0.94565,0.93073,0.19718,0.50933,0.00232,0.16464,0.8236,9.425e-05,9.425e-05,9.425e-05
79,1959.75,0.2684,0.05857,0.05401,0.16988,0.71852,0.99983,1,0.995,0.98713,0.95135,0.95152,0.9518,0.9346,0.19652,0.5143,0.00192,0.16375,0.81995,6.95e-05,6.95e-05,6.95e-05
80,2178.68,0.26084,0.05628,0.05274,0.16858,0.71935,0.99983,1,0.995,0.99,0.94833,0.94848,0.94791,0.93198,0.18786,0.50725,0.00237,0.15876,0.81496,4.475e-05,4.475e-05,4.475e-05
