epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,1309.11,0.31091,0.30035,0.27593,0.22083,1.03249,0.99981,1,0.995,0.98341,0.99981,1,0.995,0.95078,0.2332,0.26812,0.02846,0.20308,0.86214,0.000741274,0.000741274,0.000741274
49,1335.78,0.29382,0.28611,0.27094,0.20916,1.00059,0.99975,1,0.995,0.98516,0.99975,1,0.995,0.95676,0.259,0.23983,0.02529,0.19809,0.89865,0.000704073,0.000704073,0.000704073
50,1362.18,0.28853,0.28036,0.26466,0.22017,1.00545,0.9998,1,0.995,0.98194,0.9998,1,0.995,0.98371,0.23715,0.19255,0.04293,0.20359,0.87354,0.000667344,0.000667344,0.000667344
51,1389.08,0.285,0.25327,0.24403,0.20756,0.99757,0.9997,1,0.995,0.98669,0.9997,1,0.995,0.97051,0.23653,0.18872,0.04429,0.20191,0.85688,0.000631143,0.000631143,0.000631143
52,1415.8,0.27542,0.24577,0.24443,0.20073,0.99067,0.99977,1,0.995,0.985,0.99977,1,0.995,0.98915,0.2382,0.17614,0.03682,0.19699,0.87941,0.000595527,0.000595527,0.000595527
53,1442.78,0.26795,0.21756,0.21185,0.20016,0.99244,0.99981,1,0.995,0.98498,0.97258,0.97273,0.96663,0.90324,0.23789,0.54141,0.08083,0.19172,0.87016,0.000560549,0.000560549,0.000560549
54,1469.62,0.2738,0.20853,0.20317,0.19737,0.99652,0.99981,1,0.995,0.98683,0.99981,1,0.995,0.95649,0.23285,0.21249,0.03216,0.19493,0.87347,0.000526265,0.000526265,0.000526265
55,1496.06,0.26847,0.18729,0.19179,0.19576,0.98203,0.99983,1,0.995,0.98544,0.99983,1,0.995,0.99279,0.23141,0.13754,0.02376,0.18449,0.85818,0.000492726,0.000492726,0.000492726
56,1523.14,0.26138,0.17508,0.17927,0.19179,0.98578,0.99971,1,0.995,0.98835,0.99971,1,0.995,0.99006,0.22622,0.1535,0.03131,0.18627,0.85475,0.000459985,0.000459985,0.000459985
57,1550.07,0.25727,0.157,0.16667,0.19072,0.97967,0.99972,1,0.995,0.98673,0.99972,1,0.995,0.98882,0.2156,0.13639,0.0221,0.18539,0.84245,0.000428093,0.000428093,0.000428093
58,1576.7,0.25854,0.17616,0.17276,0.18911,0.97781,0.99983,1,0.995,0.98408,0.99983,1,0.995,0.9914,0.24934,0.12709,0.02125,0.18893,0.87187,0.000397097,0.000397097,0.000397097
59,1603.34,0.24636,0.15374,0.1593,0.18521,0.97553,0.99983,1,0.995,0.98668,0.99983,1,0.995,0.99093,0.23361,0.1327,0.0183,0.19712,0.85881,0.000367046,0.000367046,0.000367046
